clip,gloss,signer,split,source
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5299.MOV,COLD,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5300.MOV,COLD,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9250.MOV,COLD,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9251.MOV,COLD,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9252.MOV,COLD,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9331.MOV,COLD,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9332.MOV,COLD,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9333.MOV,COLD,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9411.MOV,COLD,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9412.MOV,COLD,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9413.MOV,COLD,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9490.MOV,COLD,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9491.MOV,COLD,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_9492.MOV,COLD,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5170.MOV,SICK,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5171.MOV,SICK,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5172.MOV,SICK,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5251.MOV,SICK,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5252.MOV,SICK,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5253.MOV,SICK,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5329.MOV,SICK,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5330.MOV,SICK,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_5331.MOV,SICK,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9280.MOV,SICK,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9281.MOV,SICK,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9282.MOV,SICK,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9362.MOV,SICK,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9363.MOV,SICK,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9364.MOV,SICK,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9442.MOV,SICK,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9443.MOV,SICK,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9444.MOV,SICK,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9527.MOV,SICK,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9528.MOV,SICK,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/98. sick/MVI_9529.MOV,SICK,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5173.MOV,HEALTHY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5174.MOV,HEALTHY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5175.MOV,HEALTHY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5254.MOV,HEALTHY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5255.MOV,HEALTHY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5256.MOV,HEALTHY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5332.MOV,HEALTHY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5333.MOV,HEALTHY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_5334.MOV,HEALTHY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9286.MOV,HEALTHY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9287.MOV,HEALTHY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9288.MOV,HEALTHY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9365.MOV,HEALTHY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9366.MOV,HEALTHY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9367.MOV,HEALTHY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9445.MOV,HEALTHY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9446.MOV,HEALTHY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9447.MOV,HEALTHY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9530.MOV,HEALTHY,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9531.MOV,HEALTHY,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/99. healthy/MVI_9532.MOV,HEALTHY,signer06,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0029.MOV,HELLO,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0030.MOV,HELLO,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0031.MOV,HELLO,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0032.MOV,HELLO,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0037.MOV,HELLO,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0038.MOV,HELLO,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0039.MOV,HELLO,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0089.MOV,HELLO,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0090.MOV,HELLO,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_0091.MOV,HELLO,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9914.MOV,HELLO,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9915.MOV,HELLO,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9916.MOV,HELLO,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9917.MOV,HELLO,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9954.MOV,HELLO,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9955.MOV,HELLO,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9956.MOV,HELLO,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9957.MOV,HELLO,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9982.MOV,HELLO,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9983.MOV,HELLO,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/48. Hello/MVI_9984.MOV,HELLO,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0033.MOV,HOW-ARE-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0034.MOV,HOW-ARE-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0035.MOV,HOW-ARE-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0036.MOV,HOW-ARE-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0040.MOV,HOW-ARE-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0041.MOV,HOW-ARE-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0042.MOV,HOW-ARE-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0092.MOV,HOW-ARE-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0093.MOV,HOW-ARE-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_0094.MOV,HOW-ARE-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9918.MOV,HOW-ARE-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9919.MOV,HOW-ARE-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9920.MOV,HOW-ARE-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9921.MOV,HOW-ARE-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9959.MOV,HOW-ARE-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9960.MOV,HOW-ARE-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9961.MOV,HOW-ARE-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9962.MOV,HOW-ARE-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9985.MOV,HOW-ARE-YOU,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9986.MOV,HOW-ARE-YOU,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/49. How are you/MVI_9987.MOV,HOW-ARE-YOU,signer05,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0037.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0038.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0039.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0040.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0043.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0044.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0045.MOV,ALRIGHT,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0095.MOV,ALRIGHT,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0096.MOV,ALRIGHT,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_0097.MOV,ALRIGHT,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9923.MOV,ALRIGHT,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9924.MOV,ALRIGHT,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9925.MOV,ALRIGHT,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9926.MOV,ALRIGHT,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9963.MOV,ALRIGHT,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9964.MOV,ALRIGHT,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9965.MOV,ALRIGHT,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9966.MOV,ALRIGHT,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9988.MOV,ALRIGHT,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9989.MOV,ALRIGHT,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/50. Alright/MVI_9990.MOV,ALRIGHT,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0042.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0043.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0044.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0045.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0046.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0047.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0048.MOV,GOOD-MORNING,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0098.MOV,GOOD-MORNING,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0099.MOV,GOOD-MORNING,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_0100.MOV,GOOD-MORNING,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9932.MOV,GOOD-MORNING,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9933.MOV,GOOD-MORNING,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9934.MOV,GOOD-MORNING,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9935.MOV,GOOD-MORNING,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9968.MOV,GOOD-MORNING,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9969.MOV,GOOD-MORNING,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9970.MOV,GOOD-MORNING,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9971.MOV,GOOD-MORNING,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9991.MOV,GOOD-MORNING,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9992.MOV,GOOD-MORNING,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/51. Good Morning/MVI_9993.MOV,GOOD-MORNING,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0006.MOV,THANK-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0007.MOV,THANK-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0008.MOV,THANK-YOU,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0058.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0059.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0060.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0060_.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0061.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0062.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0063.MOV,THANK-YOU,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0111.MOV,THANK-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0112.MOV,THANK-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_0113.MOV,THANK-YOU,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9948.MOV,THANK-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9949.MOV,THANK-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9950.MOV,THANK-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9951.MOV,THANK-YOU,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9984.MOV,THANK-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9985.MOV,THANK-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9986.MOV,THANK-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/55. Thank you/MVI_9987.MOV,THANK-YOU,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0009.MOV,PLEASED,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0010.MOV,PLEASED,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0011.MOV,PLEASED,signer00,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0061.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0062.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0063.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0065.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0066.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0067.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0068.MOV,PLEASED,signer01,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0114.MOV,PLEASED,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0115.MOV,PLEASED,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_0116.MOV,PLEASED,signer02,val,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9952.MOV,PLEASED,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9953.MOV,PLEASED,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9954.MOV,PLEASED,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9955.MOV,PLEASED,signer03,test,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9988.MOV,PLEASED,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9989.MOV,PLEASED,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9990.MOV,PLEASED,signer04,train,include
E:/datasets/INCLUDE/extracted/Greetings/56. Pleased/MVI_9991.MOV,PLEASED,signer04,train,include
E:/datasets/INCLUDE/extracted/People/60. Mother/MVI_3760.MOV,MOTHER,signer00,train,include
E:/datasets/INCLUDE/extracted/People/60. Mother/MVI_3761.MOV,MOTHER,signer00,train,include
E:/datasets/INCLUDE/extracted/People/60. Mother/MVI_3762.MOV,MOTHER,signer00,train,include
